label_id,tenant_id,survey_participation_id,participant_id,survey_id,question_id,evaluated_at,score,sentiment,risk_flag,tags,summary,checked_at,created_at,updated_at,should_display,display_label,display_note,severity,confidence,themes,risk_flags,action,label_payload,label_version,prompt_version,label_model,input_fingerprint,labeled_at
3,1,7,1,1768646102913,12,2026-01-17 10:39:03.848789+00,0.200,negative,f,"[""memnuniyetsizlik""]",Katılımcı memnun olmadığını belirtmiştir.,2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,t,Hizmet kalitesinden memnuniyetsizlik,Katılımcı NovaVeri'nin sunduğu hizmetlerin genel kalitesinden çok memnun olmadığını belirtmiştir.,0.300,0.900,"[""process""]",[],watch,"{""action"": ""watch"", ""themes"": [""process""], ""severity"": 0.3, ""confidence"": 0.9, ""risk_flags"": [], ""display_note"": ""Katılımcı NovaVeri'nin sunduğu hizmetlerin genel kalitesinden çok memnun olmadığını belirtmiştir."", ""display_label"": ""Hizmet kalitesinden memnuniyetsizlik"", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": true}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,a397d2911852c6a9b95c87551450e1dde751dc53f08c512a69746d0f04637002,2026-01-19 21:02:58.057762+00
4,1,8,1,1768646102913,13,2026-01-17 10:39:05.41022+00,0.950,positive,f,"[""memnuniyet"", ""takım"", ""olumlu""]","Çalışan, takım arkadaşlarından memnun olduğunu ve onları iyi bulduğunu belirtiyor.",2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,f,,,0.000,0.950,[],[],ignore,"{""action"": ""ignore"", ""themes"": [], ""severity"": 0.0, ""confidence"": 0.95, ""risk_flags"": [], ""display_note"": """", ""display_label"": """", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": false}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,beae5bb38347d18b207f99c0456eac725fcbddb81c99b99361f47b04c26f7290,2026-01-19 21:02:58.057762+00
5,1,9,1,1768646102913,14,2026-01-17 10:39:06.740269+00,0.200,negative,f,"[""uyumsuzluk"", ""memnuniyetsizlik""]","Katılımcı, mevcut durumun kendisine çok da uymadığını belirtmiş.",2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,t,Çözümlerin ihtiyaçlara uyumsuzluğu,"Katılımcı, NovaVeri'un sunduğu çözümlerin ihtiyaçlarına çok da uymadığını belirtmiş.",0.300,0.800,"[""tools_systems""]",[],watch,"{""action"": ""watch"", ""themes"": [""tools_systems""], ""severity"": 0.3, ""confidence"": 0.8, ""risk_flags"": [], ""display_note"": ""Katılımcı, NovaVeri'un sunduğu çözümlerin ihtiyaçlarına çok da uymadığını belirtmiş."", ""display_label"": ""Çözümlerin ihtiyaçlara uyumsuzluğu"", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": true}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,bf6fdc83fb6d90e78334ff212f6ee7b4568b2359bec6c364dfb88d3b206a7c0c,2026-01-19 21:02:58.057762+00
6,1,10,1,1768646102913,15,2026-01-17 10:39:08.410775+00,0.200,negative,f,"[""memnuniyetsizlik"", ""düşük memnuniyet""]","Katılımcı, memnuniyetini 10 üzerinden 2 olarak belirtmiş, genel olarak olumsuz bir değerlendirme yapmıştır.",2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,t,Düşük memnuniyet bildirildi,"Katılımcı, NovaVeri hizmetlerinden 10 üzerinden 2 puan vererek düşük memnuniyetini ifade etmiştir.",0.300,0.900,"[""process""]",[],watch,"{""action"": ""watch"", ""themes"": [""process""], ""severity"": 0.3, ""confidence"": 0.9, ""risk_flags"": [], ""display_note"": ""Katılımcı, NovaVeri hizmetlerinden 10 üzerinden 2 puan vererek düşük memnuniyetini ifade etmiştir."", ""display_label"": ""Düşük memnuniyet bildirildi"", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": true}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,1b63c1c2985103dc4f73d81a2d9a64a13cdd842604f9cb45bcedd056eaf1e4e6,2026-01-19 21:02:58.057762+00
7,1,11,11,1768646102913,12,2026-01-17 10:40:04.343153+00,0.900,positive,f,"[""iyimserlik"", ""gelecek"", ""gelişim""]","Katılımcı, kurumun çok daha iyi yerlere geleceğine inanıyor.",2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,f,,,0.000,0.900,[],[],ignore,"{""action"": ""ignore"", ""themes"": [], ""severity"": 0.0, ""confidence"": 0.9, ""risk_flags"": [], ""display_note"": """", ""display_label"": """", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": false}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,87aec123ecf21aa518125324b89e187aa9a253d508c01bab4546d1c66fda281d,2026-01-19 21:02:58.057762+00
8,1,12,11,1768646102913,13,2026-01-17 10:40:05.394248+00,0.500,neutral,f,"[""gelişim"", ""iyileştirme"", ""geri bildirim""]",Katılımcı gelişime ihtiyaç olduğunu belirtmiş.,2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,t,İletişim ve destek süreçlerinde gelişim ihtiyacı,Katılımcı NovaVeri ekibiyle iletişim ve destek süreçlerinde gelişime ihtiyaç olduğunu belirtmiş.,0.400,0.700,"[""communication"", ""process""]",[],watch,"{""action"": ""watch"", ""themes"": [""communication"", ""process""], ""severity"": 0.4, ""confidence"": 0.7, ""risk_flags"": [], ""display_note"": ""Katılımcı NovaVeri ekibiyle iletişim ve destek süreçlerinde gelişime ihtiyaç olduğunu belirtmiş."", ""display_label"": ""İletişim ve destek süreçlerinde gelişim ihtiyacı"", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": true}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,95cdf498d99aa13684a9b0943296a9decb6cfc003fe9f031c1e0529515c9398a,2026-01-19 21:02:58.057762+00
9,1,13,11,1768646102913,14,2026-01-17 10:40:06.496159+00,1.000,positive,f,"[""memnuniyet"", ""ihtiyaçlar"", ""olumlu""]","Katılımcı, tüm ihtiyaçlarının karşılandığını belirterek memnuniyetini ifade etmiştir.",2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,f,,,0.000,1.000,[],[],ignore,"{""action"": ""ignore"", ""themes"": [], ""severity"": 0.0, ""confidence"": 1.0, ""risk_flags"": [], ""display_note"": """", ""display_label"": """", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": false}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,d52a08ff6d0f8fa1bbb021330906994deb0af1b910596ca3214c3cfadb0717dd,2026-01-19 21:02:58.057762+00
10,1,14,11,1768646102913,15,2026-01-17 10:40:07.569573+00,0.800,positive,f,"[""olumlu"", ""memnuniyet""]",Katılımcı oldukça olumlu bir yanıt vermiştir.,2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,f,,,0.000,0.800,[],[],ignore,"{""action"": ""ignore"", ""themes"": [], ""severity"": 0.0, ""confidence"": 0.8, ""risk_flags"": [], ""display_note"": """", ""display_label"": """", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": false}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,0a66179ab2dfd4f58fc248cfac06092d8e61bfdca6a8bbc0230b308ad5d1fccb,2026-01-19 21:02:58.057762+00
11,1,15,10,1768646102913,12,2026-01-17 10:40:08.631378+00,0.500,neutral,f,"[""hizmet kalitesi"", ""yavaşlık"", ""geliştirme alanı""]","NovaVeri'un'un sunduğu hizmetler genel olarak iyi bulunmakla birlikte, bazı konularda yavaşlık yaşandığı belirtilmiştir.",2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,t,Service quality and speed concerns,The respondent finds NovaVeri' services generally good but notes some delays in certain areas.,0.300,0.800,"[""process"", ""tools_systems""]",[],watch,"{""action"": ""watch"", ""themes"": [""process"", ""tools_systems""], ""severity"": 0.3, ""confidence"": 0.8, ""risk_flags"": [], ""display_note"": ""The respondent finds NovaVeri' services generally good but notes some delays in certain areas."", ""display_label"": ""Service quality and speed concerns"", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": true}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,ad3826e1f6428cd14d45f62070392d434cdb42da2d40726792b53124ab605726,2026-01-19 21:02:58.057762+00
34,1,38,36,1768651046622,27,2026-01-17 12:00:11.977588+00,1.000,positive,f,"[""very satisfied"", ""high rating""]","The participant gave the highest possible rating, indicating complete satisfaction.",2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,f,,,0.000,1.000,[],[],ignore,"{""action"": ""ignore"", ""themes"": [], ""severity"": 0.0, ""confidence"": 1.0, ""risk_flags"": [], ""display_note"": """", ""display_label"": """", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": false}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,595cf3f542a3bfec0e7c3ddf95aec28c75d1f5d96a561daa2fed53e5bbb39380,2026-01-19 21:02:58.057762+00
12,1,16,10,1768646102913,13,2026-01-17 10:40:09.924892+00,0.950,positive,f,"[""iletişim"", ""destek"", ""ulaşılabilirlik""]",Çalışanlar telefonlara her zaman cevap veriyor ve destek sağlıyor.,2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,t,Positive communication and support,The team consistently answers calls and provides support.,0.000,0.950,"[""communication"", ""team_dynamics""]",[],ignore,"{""action"": ""ignore"", ""themes"": [""communication"", ""team_dynamics""], ""severity"": 0.0, ""confidence"": 0.95, ""risk_flags"": [], ""display_note"": ""The team consistently answers calls and provides support."", ""display_label"": ""Positive communication and support"", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": true}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,e0aa839f743fd3429431bc331f32fee7e24bad7852893e217b1e6e51011c9110,2026-01-19 21:02:58.057762+00
13,1,17,10,1768646102913,14,2026-01-17 10:40:10.922685+00,0.500,neutral,f,"[""iletişim"", ""problem çözme""]","Katılımcı, problemi çok iyi anlatması gerektiğini belirtiyor.",2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,f,,,0.000,0.500,[],[],ignore,"{""action"": ""ignore"", ""themes"": [], ""severity"": 0.0, ""confidence"": 0.5, ""risk_flags"": [], ""display_note"": """", ""display_label"": """", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": false}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,67414cfdd5b5886161826a0c9f044285c66b269dd6bbfa62838b9ad58145dce9,2026-01-19 21:02:58.057762+00
14,1,18,10,1768646102913,15,2026-01-17 10:40:12.268425+00,0.200,negative,f,"[""fayda yok"", ""memnuniyetsizlik""]","Katılımcı, verilenin kendisine pek faydası olmadığını belirtmiş.",2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,t,Düşük memnuniyet,"Katılımcı, NovaVeri hizmetlerinin kendisine pek faydası olmadığını belirtmiş.",0.300,0.900,"[""tools_systems""]",[],watch,"{""action"": ""watch"", ""themes"": [""tools_systems""], ""severity"": 0.3, ""confidence"": 0.9, ""risk_flags"": [], ""display_note"": ""Katılımcı, NovaVeri hizmetlerinin kendisine pek faydası olmadığını belirtmiş."", ""display_label"": ""Düşük memnuniyet"", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": true}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,d49e0011965554bdb0c63371228cf4acb23e8f683dca7d374c1f2db3b49dd485,2026-01-19 21:02:58.057762+00
15,1,19,12,1768646102913,12,2026-01-17 10:40:13.399658+00,0.950,positive,f,"[""memnuniyet"", ""sorun yok""]",Çalışan memnun ve herhangi bir sıkıntı belirtmemiş.,2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,f,,,0.000,0.950,[],[],ignore,"{""action"": ""ignore"", ""themes"": [], ""severity"": 0.0, ""confidence"": 0.95, ""risk_flags"": [], ""display_note"": """", ""display_label"": """", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": false}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,25d2dcf19f20ed175ee913429335c44d30d3093aef1e1b4541c715babd29c456,2026-01-19 21:02:58.057762+00
16,1,20,12,1768646102913,13,2026-01-17 10:40:14.507164+00,0.500,neutral,f,"[""olumsuzluk yok"", ""sorun yaşanmadı""]",Katılımcı herhangi bir olumsuzluk yaşamadığını belirtmiştir.,2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,f,,,0.000,0.900,[],[],ignore,"{""action"": ""ignore"", ""themes"": [], ""severity"": 0.0, ""confidence"": 0.9, ""risk_flags"": [], ""display_note"": """", ""display_label"": """", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": false}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,6553cc9c255684a4e312fc5e740768388bb75ddf37080c53851a8b22495fd012,2026-01-19 21:02:58.057762+00
